Market_and_Exchange_Names,Report_Date,NonComm_Long,NonComm_Short,Open_Interest,Net
COTTON NO. 2 - NEW YORK BOARD OF TRADE,2006-10-24,26312,54119,253572,-27807
COTTON NO. 2 - NEW YORK BOARD OF TRADE,2006-10-31,27027,51539,257078,-24512
COTTON NO. 2 - NEW YORK BOARD OF TRADE,2006-11-07,28521,50201,258611,-21680
COTTON NO. 2 - NEW YORK BOARD OF TRADE,2006-11-14,27946,54454,219665,-26508
COTTON NO. 2 - NEW YORK BOARD OF TRADE,2006-11-21,28515,56934,201950,-28419
COTTON NO. 2 - NEW YORK BOARD OF TRADE,2006-11-28,30800,52556,208383,-21756
COTTON NO. 2 - NEW YORK BOARD OF TRADE,2006-12-05,35089,49433,215913,-14344
COTTON NO. 2 - NEW YORK BOARD OF TRADE,2006-12-12,34956,45188,223543,-10232
COTTON NO. 2 - NEW YORK BOARD OF TRADE,2006-12-19,39036,35790,234259,3246
COTTON NO. 2 - NEW YORK BOARD OF TRADE,2006-12-26,40780,33377,242661,7403
COTTON NO. 2 - NEW YORK BOARD OF TRADE,2007-01-03,39688,30544,244076,9144
COTTON NO. 2 - NEW YORK BOARD OF TRADE,2007-01-09,38099,33145,244204,4954
COTTON NO. 2 - NEW YORK BOARD OF TRADE,2007-01-16,39528,35925,259321,3603
COTTON NO. 2 - NEW YORK BOARD OF TRADE,2007-01-23,40192,35593,267095,4599
COTTON NO. 2 - NEW YORK BOARD OF TRADE,2007-01-30,35900,41663,267724,-5763
COTTON NO. 2 - NEW YORK BOARD OF TRADE,2007-02-06,39800,44501,281572,-4701
COTTON NO. 2 - NEW YORK BOARD OF TRADE,2007-02-13,35325,57878,272727,-22553
COTTON NO. 2 - NEW YORK BOARD OF TRADE,2007-02-20,35895,62326,264930,-26431
COTTON NO. 2 - NEW YORK BOARD OF TRADE,2007-02-27,39044,59039,279225,-19995
COTTON NO. 2 - NEW YORK BOARD OF TRADE,2007-03-06,43500,52766,285508,-9266
COTTON NO. 2 - NEW YORK BOARD OF TRADE,2007-03-13,47183,45182,297695,2001
COTTON NO. 2 - NEW YORK BOARD OF TRADE,2007-03-20,49262,45423,304794,3839
COTTON NO. 2 - NEW YORK BOARD OF TRADE,2007-03-27,51220,46653,316315,4567
COTTON NO. 2 - NEW YORK BOARD OF TRADE,2007-04-03,52170,49801,328435,2369
COTTON NO. 2 - NEW YORK BOARD OF TRADE,2007-04-10,53064,58363,312561,-5299
COTTON NO. 2 - NEW YORK BOARD OF TRADE,2007-04-17,48885,65477,300481,-16592
COTTON NO. 2 - NEW YORK BOARD OF TRADE,2007-04-24,48506,66583,297980,-18077
COTTON NO. 2 - NEW YORK BOARD OF TRADE,2007-05-01,48168,66127,306112,-17959
COTTON NO. 2 - NEW YORK BOARD OF TRADE,2007-05-08,48055,69002,310223,-20947
COTTON NO. 2 - NEW YORK BOARD OF TRADE,2007-05-15,47953,69985,320226,-22032
COTTON NO. 2 - NEW YORK BOARD OF TRADE,2007-05-22,49677,57748,323998,-8071
COTTON NO. 2 - NEW YORK BOARD OF TRADE,2007-05-29,47157,54312,327102,-7155
COTTON NO. 2 - NEW YORK BOARD OF TRADE,2007-06-05,48320,49079,328204,-759
COTTON NO. 2 - NEW YORK BOARD OF TRADE,2007-06-12,50112,44296,322719,5816
COTTON NO. 2 - NEW YORK BOARD OF TRADE,2007-06-19,50958,33120,291064,17838
COTTON NO. 2 - NEW YORK BOARD OF TRADE,2007-06-26,53960,26516,303273,27444
COTTON NO. 2 - NEW YORK BOARD OF TRADE,2007-07-03,59569,22548,323396,37021
COTTON NO. 2 - NEW YORK BOARD OF TRADE,2007-07-10,64393,17452,348622,46941
COTTON NO. 2 - NEW YORK BOARD OF TRADE,2007-07-17,63541,12821,372707,50720
COTTON NO. 2 - NEW YORK BOARD OF TRADE,2007-07-24,60032,13397,368869,46635
COTTON NO. 2 - NEW YORK BOARD OF TRADE,2007-07-31,57379,11552,369059,45827
COTTON NO. 2 - NEW YORK BOARD OF TRADE,2007-08-07,60000,10762,369568,49238
COTTON NO. 2 - NEW YORK BOARD OF TRADE,2007-08-14,52255,10233,365791,42022
COTTON NO. 2 - NEW YORK BOARD OF TRADE,2007-08-21,44289,15861,356406,28428
COTTON NO. 2 - NEW YORK BOARD OF TRADE,2007-08-28,43900,19143,356495,24757
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-01-03,13320,1024,38228,12296
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-01-10,13564,1087,38736,12477
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-01-17,13301,1706,37902,11595
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-01-24,13558,1938,37764,11620
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-01-31,11695,2231,35637,9464
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-02-07,10564,2480,38198,8084
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-02-14,10427,2977,39409,7450
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-02-21,10711,3498,40362,7213
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-02-28,11411,4364,41291,7047
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-03-07,12821,4333,43034,8488
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-03-14,11709,5411,42830,6298
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-03-21,12808,4605,42427,8203
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-03-28,13388,5359,44259,8029
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-04-04,11009,5467,40008,5542
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-04-11,10741,6172,38270,4569
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-04-18,10808,6719,38782,4089
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-04-25,10833,6219,37799,4614
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-05-02,9619,5769,32473,3850
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-05-09,8007,5724,32304,2283
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-05-16,8932,5320,32981,3612
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-05-23,8778,5577,31458,3201
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-05-30,8054,4493,28561,3561
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-06-06,8727,3590,29781,5137
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-06-13,9016,3284,30523,5732
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-06-20,9126,2426,30185,6700
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-06-27,10392,2489,32416,7903
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-07-03,11531,2570,34576,8961
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-07-11,10683,2440,35338,8243
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-07-18,10053,2544,36110,7509
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-07-25,10739,2046,36285,8693
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-08-01,10555,2143,37107,8412
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-08-08,10482,2527,37469,7955
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-08-15,11102,2396,38650,8706
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-08-22,10577,2280,38558,8297
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-08-29,10001,2642,37894,7359
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-09-05,7955,2969,33453,4986
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-09-12,8292,3352,33397,4940
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-09-19,7158,4652,33821,2506
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-09-26,6539,4728,30764,1811
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-10-03,4463,5458,28499,-995
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-10-10,5040,6167,27914,-1127
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-10-17,4160,5792,27898,-1632
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-10-24,5570,7089,28641,-1519
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-10-31,3256,7014,25223,-3758
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-11-07,2947,7650,29385,-4703
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-11-14,4066,8530,28908,-4464
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-11-21,3889,7270,27196,-3381
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-11-28,3974,6982,28397,-3008
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-12-05,3910,7294,29604,-3384
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-12-12,3843,7074,31351,-3231
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-12-19,4047,7119,30640,-3072
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2006-12-26,4081,7087,29800,-3006
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-01-03,4303,7097,30462,-2794
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-01-09,4627,7391,30573,-2764
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-01-16,5009,7554,32528,-2545
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-01-23,5966,8069,33669,-2103
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-01-30,6816,8206,33150,-1390
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-02-06,7680,8298,36059,-618
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-02-13,9075,7316,38363,1759
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-02-20,8222,6264,38569,1958
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-02-27,7626,5733,39378,1893
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-03-06,7673,4519,39272,3154
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-03-13,7086,4407,37825,2679
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-03-20,7198,3683,37341,3515
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-03-27,6588,4457,37003,2131
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-04-03,6792,3843,34239,2949
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-04-10,7292,3001,32816,4291
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-04-17,6071,2283,29579,3788
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-04-24,6166,2410,29642,3756
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-05-01,6039,2196,26751,3843
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-05-08,5087,2167,24419,2920
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-05-15,5297,1251,25089,4046
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-05-22,6004,1589,25778,4415
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-05-29,5043,2013,22924,3030
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-06-05,4804,2725,23001,2079
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-06-12,4746,3800,23982,946
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-06-19,4749,4386,24487,363
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-06-26,4750,4489,25367,261
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-07-03,4558,4139,26084,419
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-07-10,5784,3527,28299,2257
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-07-17,7735,3320,32320,4415
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-07-24,7968,3077,34382,4891
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-07-31,9036,3261,35636,5775
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-08-07,9378,3209,33652,6169
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-08-14,7935,2734,31951,5201
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-08-21,7932,2203,31024,5729
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-08-28,8721,1889,32723,6832
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-09-04,9167,1552,32169,7615
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-09-11,9876,1113,33175,8763
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-09-18,9275,1493,31202,7782
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-09-25,8598,1783,31648,6815
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-10-02,9259,1488,29450,7771
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-10-09,9143,1951,28911,7192
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-10-16,8368,1823,28891,6545
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-10-23,8803,2560,29924,6243
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-10-30,7938,2816,28742,5122
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-11-06,8231,3239,30016,4992
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-11-13,8104,3097,29733,5007
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-11-20,9231,2970,28225,6261
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-11-27,9590,2741,29143,6849
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-12-04,9932,2880,30212,7052
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-12-11,10707,3787,31317,6920
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-12-18,11419,4059,33627,7360
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-12-24,12882,4562,34965,8320
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2007-12-31,13701,4798,36080,8903
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-01-08,15609,5690,38702,9919
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-01-15,15208,5803,41980,9405
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-01-22,15902,6013,43015,9889
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-01-29,16833,6702,45045,10131
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-02-05,16920,6754,43939,10166
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-02-12,16802,6817,43989,9985
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-02-19,17293,7134,44061,10159
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-02-26,15997,7239,42982,8758
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-03-04,15474,8266,42414,7208
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-03-11,15489,9532,41984,5957
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-03-18,16262,9750,42449,6512
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-03-25,16453,9477,40637,6976
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-04-01,16456,9659,41487,6797
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-04-08,15446,10259,41862,5187
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-04-15,14936,9755,41163,5181
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-04-22,13874,9325,40298,4549
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-04-29,10825,7238,36243,3587
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-05-06,8284,7366,34393,918
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-05-13,7127,7286,35631,-159
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-05-20,7317,5656,35798,1661
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-05-27,6105,4291,32865,1814
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-06-03,5148,3981,33884,1167
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-06-10,5300,4288,34244,1012
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-06-17,4546,5155,35292,-609
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-06-24,4400,5043,34833,-643
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-07-01,4315,5475,34911,-1160
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-07-08,5103,6583,34735,-1480
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-07-15,5382,6942,35956,-1560
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-07-22,6555,6281,36911,274
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-07-29,7383,6085,34952,1298
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-08-05,8350,5290,38356,3060
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-08-12,8229,4737,37671,3492
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-08-19,8113,5581,36483,2532
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-08-26,7408,6825,35405,583
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-09-02,6188,7795,31709,-1607
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-09-09,5361,8512,29697,-3151
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-09-16,5050,9350,29177,-4300
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-09-23,4259,9889,29643,-5630
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-09-30,4406,9933,28697,-5527
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-10-07,3610,9368,27605,-5758
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-10-14,3515,8711,26402,-5196
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-10-21,3955,8763,24864,-4808
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-10-28,4013,8248,23614,-4235
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-11-04,4496,7300,20739,-2804
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-11-11,4347,6722,20530,-2375
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-11-18,4026,6823,21900,-2797
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-11-25,3429,7389,21040,-3960
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-12-02,3430,7540,21886,-4110
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-12-09,3273,7298,23017,-4025
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-12-16,3130,7449,22663,-4319
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-12-22,3124,6509,22249,-3385
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2008-12-30,3360,6215,22287,-2855
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-01-06,3093,5748,22254,-2655
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-01-13,2452,6234,22552,-3782
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-01-20,2675,6332,23105,-3657
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-01-27,2621,6005,23277,-3384
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-02-03,2259,5916,22650,-3657
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-02-10,2507,3782,23984,-1275
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-02-17,3044,2918,23725,126
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-02-24,3072,3376,24062,-304
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-03-03,3252,4138,24563,-886
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-03-10,3271,4317,26267,-1046
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-03-17,3152,3846,25472,-694
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-03-24,3300,3820,24201,-520
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-03-31,1500,2886,20652,-1386
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-04-07,1653,2953,20685,-1300
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-04-14,2645,2185,21477,460
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-04-21,3082,2145,22555,937
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-04-28,3293,3046,22535,247
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-05-05,3029,3351,22428,-322
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-05-12,3487,2813,24114,674
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-05-19,4191,2200,24334,1991
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-05-26,4939,1725,24076,3214
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-06-02,4540,1587,24621,2953
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-06-09,4287,4275,24166,12
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-06-16,4745,5513,24931,-768
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-06-23,5189,5060,26379,129
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-06-30,6038,3076,27180,2962
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-07-07,6898,1907,27958,4991
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-07-14,7663,1967,29165,5696
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-07-21,8097,1900,30779,6197
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-07-28,7903,2113,30669,5790
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-08-04,7508,2400,29271,5108
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-08-11,5687,2293,25890,3394
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-08-18,4932,3534,26504,1398
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-08-25,5433,4829,26578,604
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-09-01,5739,6586,27647,-847
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-09-08,6171,7623,28848,-1452
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-09-15,6523,6636,28721,-113
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-09-22,7247,8485,29941,-1238
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-09-29,6682,8377,28708,-1695
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-10-06,6417,9454,29893,-3037
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-10-13,6787,10086,30249,-3299
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-10-20,6926,9961,28995,-3035
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-10-27,7063,9749,29126,-2686
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-11-03,6754,9421,27494,-2667
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-11-09,6528,8849,27360,-2321
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-11-17,7226,10619,28293,-3393
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-11-24,7104,11110,27921,-4006
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-12-01,8296,11820,29727,-3524
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-12-08,7587,11574,31371,-3987
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-12-15,6613,11614,32696,-5001
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-12-22,5549,10502,32354,-4953
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2009-12-29,5520,9564,32245,-4044
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2010-01-05,6298,7879,31968,-1581
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2010-01-12,6637,5894,33034,743
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2010-01-19,7548,5863,34692,1685
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2010-01-26,8532,5059,37785,3473
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2010-02-02,8229,4005,34924,4224
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2010-02-09,8424,3800,33204,4624
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2010-02-16,9111,3577,36464,5534
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2010-02-23,10343,3638,40070,6705
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2010-03-02,11103,3295,41686,7808
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2010-03-09,12756,2965,43084,9791
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2010-03-16,14290,2573,43831,11717
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2010-03-23,16568,3416,47066,13152
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2010-03-30,17617,3936,45062,13681
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2010-04-06,18970,4957,47171,14013
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2010-04-13,19385,4436,47985,14949
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2010-04-20,19846,4508,48784,15338
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2010-04-27,20090,3504,50330,16586
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2010-05-04,19598,3799,48768,15799
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2010-05-11,17479,3274,46442,14205
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2010-05-18,15934,3857,43528,12077
FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,2010-05-25,11865,3244,40199,8621
