Market_and_Exchange_Names,Report_Date,NonComm_Long,NonComm_Short,Open_Interest,Net
COCOA - ICE FUTURES U.S.,2009-02-03,33069,14152,137510,18917
COCOA - ICE FUTURES U.S.,2009-02-10,36102,14383,131561,21719
COCOA - ICE FUTURES U.S.,2009-02-17,36205,15792,124784,20413
COCOA - ICE FUTURES U.S.,2009-02-24,34492,16710,129713,17782
COCOA - ICE FUTURES U.S.,2009-03-03,32071,16054,129743,16017
COCOA - ICE FUTURES U.S.,2009-03-10,31637,14870,131433,16767
COCOA - ICE FUTURES U.S.,2009-03-17,30723,11883,127635,18840
COCOA - ICE FUTURES U.S.,2009-03-24,29448,11659,123771,17789
COCOA - ICE FUTURES U.S.,2009-03-31,30968,10750,123003,20218
COCOA - ICE FUTURES U.S.,2009-04-07,34811,11948,120302,22863
COCOA - ICE FUTURES U.S.,2009-04-14,33278,11391,127423,21887
COCOA - ICE FUTURES U.S.,2009-04-21,28454,11408,124157,17046
COCOA - ICE FUTURES U.S.,2009-04-28,27747,11294,125766,16453
COCOA - ICE FUTURES U.S.,2009-05-05,25120,11366,125691,13754
COCOA - ICE FUTURES U.S.,2009-05-12,25006,13198,129497,11808
COCOA - ICE FUTURES U.S.,2009-05-19,23505,13293,133140,10212
COCOA - ICE FUTURES U.S.,2009-05-26,24296,16602,134938,7694
COCOA - ICE FUTURES U.S.,2009-06-02,28880,18916,132115,9964
COCOA - ICE FUTURES U.S.,2009-06-09,36885,20835,130203,16050
COCOA - ICE FUTURES U.S.,2009-06-16,38241,18914,125405,19327
COCOA - ICE FUTURES U.S.,2009-06-23,30794,14183,120153,16611
COCOA - ICE FUTURES U.S.,2009-06-30,28886,14772,118314,14114
COCOA - ICE FUTURES U.S.,2009-07-07,29021,15193,118657,13828
COCOA - ICE FUTURES U.S.,2009-07-14,29765,17221,120405,12544
COCOA - ICE FUTURES U.S.,2009-07-21,32959,18030,127305,14929
COCOA - ICE FUTURES U.S.,2009-07-28,35833,16984,130384,18849
COCOA - ICE FUTURES U.S.,2009-08-04,38376,18506,130240,19870
COCOA - ICE FUTURES U.S.,2009-08-11,35591,18041,126347,17550
